feature,group,unit,f044_value,train_min,train_max,train_percentile,z_score,all50_min,all50_max,other_test_min,other_test_max,intended_constraint,status,interpretation,evidence_source
package_width_mm,geometry,mm,68.0,34.0,72.0,92.5,1.7197772199869217,34.0,72.0,50.0,66.0,f044 proposal: one side 68-78 mm,PASS,upper-tail but covered by f043,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
package_height_mm,geometry,mm,36.0,32.0,64.0,10.0,-1.2063009915897234,32.0,64.0,40.0,56.0,f044 proposal: other side 36-38 mm,PASS,lower-tail but within training range,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
package_area_mm2,geometry,mm^2,2448.0,1088.0,4480.0,55.0,0.0374668744644067,1088.0,4480.0,2000.0,3472.0,,PASS,near training median,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
package_aspect_ratio,geometry,ratio,1.8888888888888888,1.0526315789473684,1.894736842105263,97.5,5.8187747149340066,1.0526315789473684,1.894736842105263,1.1071428571428572,1.2692307692307692,f044 proposal: 36x68 to 38x78,WARNING,"5.82 train z-score, but inside training maximum because f043 is 1.895",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
chiplet_count,geometry,count,20.0,6.0,64.0,52.5,-0.2050084927797977,6.0,64.0,16.0,56.0,12-28 in design proposal; frozen blueprint=20,PASS,ordinary count,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
total_chiplet_area_mm2,geometry,mm^2,1126.0800000082947,598.4000000179617,2529.600000059449,55.0,0.1202707195391394,598.4000000179617,2529.600000059449,943.9200000080878,2222.080000067367,,PASS,ordinary occupied area,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
occupied_area_fraction,geometry,fraction,0.4600000000033883,0.2499999999982241,0.6600000000206164,55.0,-0.027472626842968,0.2499999999982241,0.6600000000206164,0.3399999999901174,0.6400000000194029,0.30-0.54 implied by whitespace proposal,PASS,near training median,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
chiplet_area_mm2_mean,chiplet_geometry,mm^2,56.30400000041474,34.222222222580086,100.79999999956677,70.0,0.2202999552951023,34.222222222580086,103.03999999765848,36.46499999894009,58.995000000505485,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
chiplet_area_mm2_std,chiplet_geometry,mm^2,16.13423151373361,7.149330142338631,32.74884274773049,72.5,0.3089777504534919,7.149330142338631,32.74884274773049,9.19746950141837,30.468337280934826,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
chiplet_area_mm2_min,chiplet_geometry,mm^2,34.318995243830514,17.683852691712644,64.03111124808457,65.0,0.0216465862172743,17.683852691712644,64.03111124808457,21.37730141747442,31.59411867910958,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
